date,visitors
1985 May,75.7
1985 Jun,75.4
1985 Jul,83.1
1985 Aug,82.9
1985 Sep,77.3
1985 Oct,105.7
1985 Nov,121.9
1985 Dec,150
1986 Jan,98
1986 Feb,118
1986 Mar,129.5
1986 Apr,110.6
1986 May,91.7
1986 Jun,94.8
1986 Jul,109.5
1986 Aug,105.1
1986 Sep,95
1986 Oct,130.3
1986 Nov,156.7
1986 Dec,190.1
1987 Jan,139.7
1987 Feb,147.8
1987 Mar,145.2
1987 Apr,132.7
1987 May,120.7
1987 Jun,116.5
1987 Jul,142
1987 Aug,140.4
1987 Sep,128
1987 Oct,165.7
1987 Nov,183.1
1987 Dec,222.8
1988 Jan,161.3
1988 Feb,180.4
1988 Mar,185.2
1988 Apr,160.5
1988 May,157.1
1988 Jun,163.8
1988 Jul,203.3
1988 Aug,196.9
1988 Sep,179.6
1988 Oct,207.3
1988 Nov,208
1988 Dec,245.8
1989 Jan,168.9
1989 Feb,191.1
1989 Mar,180
1989 Apr,160.1
1989 May,136.6
1989 Jun,142.7
1989 Jul,175.4
1989 Aug,161.4
1989 Sep,149.9
1989 Oct,174.1
1989 Nov,192.7
1989 Dec,247.4
1990 Jan,176.2
1990 Feb,192.8
1990 Mar,189.1
1990 Apr,181.1
1990 May,149.9
1990 Jun,157.3
1990 Jul,185.3
1990 Aug,178.2
1990 Sep,162.7
1990 Oct,190.6
1990 Nov,198.6
1990 Dec,253.1
1991 Jan,177.4
1991 Feb,190.6
1991 Mar,189.2
1991 Apr,168
1991 May,161.4
1991 Jun,172.2
1991 Jul,208.3
1991 Aug,199.3
1991 Sep,197.4
1991 Oct,216
1991 Nov,223.9
1991 Dec,266.8
1992 Jan,196.1
1992 Feb,238.2
1992 Mar,217.8
1992 Apr,203.8
1992 May,175.2
1992 Jun,176.9
1992 Jul,219.3
1992 Aug,199.1
1992 Sep,190
1992 Oct,229.3
1992 Nov,255
1992 Dec,302.4
1993 Jan,242.8
1993 Feb,245.5
1993 Mar,257.9
1993 Apr,226.3
1993 May,213.4
1993 Jun,204.6
1993 Jul,244.6
1993 Aug,239.9
1993 Sep,224
1993 Oct,267.2
1993 Nov,285.9
1993 Dec,344
1994 Jan,250.5
1994 Feb,304.3
1994 Mar,307.4
1994 Apr,255.1
1994 May,214.9
1994 Jun,230.9
1994 Jul,282.5
1994 Aug,265.4
1994 Sep,254
1994 Oct,301.6
1994 Nov,311
1994 Dec,384
1995 Jan,303.8
1995 Feb,319.1
1995 Mar,313.5
1995 Apr,294.2
1995 May,244.8
1995 Jun,261.4
1995 Jul,329.7
1995 Aug,304.9
1995 Sep,268.6
1995 Oct,320.7
1995 Nov,342.9
1995 Dec,422.3
1996 Jan,317.2
1996 Feb,392.7
1996 Mar,365.6
1996 Apr,333.2
1996 May,261.5
1996 Jun,306.9
1996 Jul,358.2
1996 Aug,329.2
1996 Sep,309.2
1996 Oct,350.4
1996 Nov,375.6
1996 Dec,465.2
1997 Jan,342.9
1997 Feb,408
1997 Mar,390.9
1997 Apr,325.9
1997 May,289.1
1997 Jun,308.2
1997 Jul,397.4
1997 Aug,330.4
1997 Sep,330.9
1997 Oct,366.5
1997 Nov,379.5
1997 Dec,448.3
1998 Jan,346.2
1998 Feb,353.6
1998 Mar,338.6
1998 Apr,341.1
1998 May,283.4
1998 Jun,304.2
1998 Jul,372.3
1998 Aug,323.7
1998 Sep,323.9
1998 Oct,354.8
1998 Nov,367.9
1998 Dec,457.6
1999 Jan,351
1999 Feb,398.6
1999 Mar,389
1999 Apr,334.1
1999 May,298.1
1999 Jun,317.1
1999 Jul,388.5
1999 Aug,355.6
1999 Sep,353.1
1999 Oct,397
1999 Nov,416.7
1999 Dec,460.8
2000 Jan,360.8
2000 Feb,434.6
2000 Mar,411.9
2000 Apr,405.6
2000 May,319.3
2000 Jun,347.9
2000 Jul,429
2000 Aug,372.9
2000 Sep,403
2000 Oct,426.5
2000 Nov,459.9
2000 Dec,559.9
2001 Jan,416.6
2001 Feb,429.2
2001 Mar,428.7
2001 Apr,405.4
2001 May,330.2
2001 Jun,370
2001 Jul,446.9
2001 Aug,384.6
2001 Sep,366.3
2001 Oct,378.5
2001 Nov,376.2
2001 Dec,523.2
2002 Jan,379.3
2002 Feb,437.2
2002 Mar,446.5
2002 Apr,360.3
2002 May,329.9
2002 Jun,339.4
2002 Jul,418.2
2002 Aug,371.9
2002 Sep,358.6
2002 Oct,428.9
2002 Nov,437
2002 Dec,534
2003 Jan,396.6
2003 Feb,427.5
2003 Mar,392.5
2003 Apr,321.5
2003 May,260.9
2003 Jun,308.3
2003 Jul,415.5
2003 Aug,362.2
2003 Sep,385.6
2003 Oct,435.3
2003 Nov,473.3
2003 Dec,566.6
2004 Jan,420.2
2004 Feb,454.8
2004 Mar,432.3
2004 Apr,402.8
2004 May,341.3
2004 Jun,367.3
2004 Jul,472
2004 Aug,405.8
2004 Sep,395.6
2004 Oct,449.9
2004 Nov,479.9
2004 Dec,593.1
2005 Jan,462.4
2005 Feb,501.6
2005 Mar,504.7
2005 Apr,409.5
